pb190,pe021,pl016,rl060,ph050,pb030,rl020,rb240,ph010,pd050,pl040b,pl040a,py080g,pl090,m_k,py020g,pd020,ph060,rl050,pl100,pl145,rb230,ph020,rl010,pl141,pd060,ap,pl060,rb220,hb030,pl051b,pl051a,py130g,py110g,py021g,pe041,py035g,py100g,pd030,rl040,pl111b,ph070,pl111a,pl073,pl150,pl271,pl074,pd070,pl075,py090n,ph030,pl032,pl076,pb205,py050n,py010n,pb200,py090g,sl,py050g,py030g,py010g,pe010,rb090,rb050,pl088,pl089,pl200,rl030,pd080,pl085,ph040,pl086,pl087,pl080,py120n,py140g,objectid,age,py120g
4,,3,,,1014890001,,,4,3,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10148900,42,,0,418.68,0,450,0,5785.56,1,,,,,0,,,0,1,0,0,1,3,0,2,0,0,3,0,4,0,0,0,2,2,85.25069,0,0,40,,3,12,2,0,0,0,0,0,1101,83,0
4,,3,,,1014920001,,,5,3,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10149200,93,,0,418.68,0,340,0,4440.84,3,,,,,0,,,0,2,0,0,1,3,0,2,0,0,3,0,4,0,0,0,2,2,88.39706,0,0,29,,3,12,2,0,0,0,0,0,1102,80,0
1,,3,,2,1014930001,,,3,1,3,,0,0,1,0,1,,,,,,2,,,2,6,,,10149300,33,,0,0,0,700,0,7774.8,1,,,,,0,,,0,1,0,0,3,3,0,2,0,0,3,0,4,0,0,0,2,2,84.12633,0,0,39,,1,12,1,0,0,0,0,0,1103,81,0
2,,,,,1014950002,,1014950003,,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,6,40,,10149500,,72,0,0,0,354,500.41,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,1,0,10926.09,1,0,4,0,295.24,16528.56,2,1,41.64077,0,0,16,,1,0,2,0,0,0,99.48,0,1104,34,119.75
2,,,,,1014950003,,1014950002,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,6,40,,10149500,,42,0,0,0,600,750.45,0,1,,,,84,12,2,1,0,1,0,0,3,1,0,1,0,15488.04,1,0,4,0,442.77,25015.1,2,2,41.64077,0,0,15,,1,0,2,0,0,0,446.87,0,1105,33,565.66
,,,0,,1014950004,25,,,,,,,,1,,,,0,,,1014950003,,,,,6,,1014950002,10149500,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,1,41.64077,,,,0,,,,,,,,,1106,8,
,,,0,,1014950005,,,,,,,,,1,,,,0,,,1014950003,,40,,,6,,1014950002,10149500,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,2,41.64077,,,,0,,,,,,,,,1107,4,
1,,,,,1014990001,,1014990002,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,6,40,,10149900,,52,0,0,0,450,0,0,1,,,,47,12,1,0,0,1,0,0,3,1,0,1,0,11930.32,2,0,4,0,331.49,18408.83,2,2,58.5021,0,0,24,,1,0,2,0,0,0,0,0,1108,52,0
5,,3,,,1014990002,,1014990001,4,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10149900,72,,0,0,0,700,0,6516.12,1,,49,,,0,,0,0,1,0,0,3,3,0,1,0,0,2,0,4,0,0,0,2,1,58.5021,0,0,42,,1,12,2,0,0,0,0,0,1109,72,0
1,34,1,,,1014990003,,,2,1,,,0,0,1,0,1,2,,,,1014990001,2,,,1,6,,1014990002,10149900,,,0,0,0,200,0,0,1,,,,,0,,0,0,1,0,0,3,5,0,2,0,0,3,0,4,0,0,0,1,2,58.5021,0,0,,,1,0,2,0,12,0,0,0,1110,17,0
4,,3,,,1015010001,,,3,1,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10150100,96,,0,418.68,0,700,0,8726.52,1,,,,,0,,,0,1,0,0,2,3,0,2,0,0,3,0,4,0,0,0,2,1,44.77285,0,0,43,,1,12,2,0,0,0,0,0,1111,79,0
4,,,,,1015020001,,,3,1,,3,0,0,1,0,1,,,,1,,1,,21,1,6,40,,10150200,,42,0,418.68,0,450,0,4205.52,1,,,,41,12,2,1,0,1,0,0,3,1,0,2,0,7667.18,3,0,4,0,180.81,10215.54,2,2,107.15372,0,0,45,,1,0,2,0,0,0,0,0,1112,65,0
4,,,,,1015030001,,,3,1,,3,0,0,1,0,1,,,,1,,2,,21,1,6,40,,10150300,,53,0,418.68,0,340,0,6357.72,1,,,,85,12,2,0,0,1,0,0,3,1,0,2,0,4669.17,3,0,4,0,140.17,6459.57,2,2,51.65386,0,0,45,,1,0,,0,0,0,0,0,1113,67,0
4,,3,,,1015040001,,,4,3,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10150400,34,,0,418.68,0,700,0,8957.22,3,,,,,0,,,0,3,0,0,2,3,0,2,0,0,3,0,4,0,0,0,2,1,132.0521,0,0,48,,1,12,2,0,0,0,0,0,1114,81,0
2,,,,,1015090001,,1015090002,3,3,,3,0,0,1,0,1,,,,1,,2,,21,3,6,48,,10150900,,83,0,0,0,450,535.73,0,1,,,,13,12,2,0,0,3,0,0,3,1,0,1,0,11650.53,1,0,4,0,316.08,17857.61,2,1,51.70114,0,0,33,,1,0,,0,0,0,0,0,1115,57,0
2,,,,,1015090002,,1015090001,3,3,,3,0,0,1,0,1,,,,1,,2,,21,3,6,48,,10150900,,82,0,0,0,600,500.68,0,1,,,,16,12,2,0,0,3,0,0,3,1,0,1,0,11502.46,1,0,4,0,295.4,17358.52,2,2,51.70114,0,0,24,,1,0,2,0,0,0,682.08,0,1116,53,846.11
2,,3,,,1015120001,,1015120002,4,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10151200,72,,0,0,0,340,0,6960.6,1,,25,,,0,,0,0,1,0,0,2,3,0,1,0,0,1,0,4,0,0,0,2,1,55.93974,0,0,46,,1,12,2,0,0,0,0,0,1117,71,0
2,,3,,,1015120002,,1015120001,4,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10151200,21,,0,0,0,450,0,8937.84,1,,49,,,0,,0,0,1,0,0,2,3,0,1,0,0,1,0,4,0,0,0,2,2,55.93974,0,0,42,,1,12,2,0,0,0,0,0,1118,67,0
5,,3,,2,1015180001,,,3,1,3,,0,0,1,0,1,,,,,,1,,,1,6,,,10151800,82,,0,0,0,450,0,7588.2,1,,,,,0,,,0,1,0,0,2,3,0,2,0,0,3,0,4,0,0,0,2,2,85.73923,0,0,35,,1,12,1,0,0,0,0,0,1119,76,0
5,,,,,1015230001,,,3,3,,3,0,0,1,0,3,,,,1,,1,,21,2,6,48,,10152300,,54,0,0,0,600,0,0,1,,,,47,12,2,0,0,1,0,0,3,1,0,2,0,9233.97,3,0,4,0,248.19,13437.93,2,2,127.7969,0,0,,,1,0,2,0,0,0,0,0,1120,61,0
1,,,,,1015250001,,,1,1,,2,0,0,1,0,1,,,,1,,2,,,1,6,40,,10152500,,34,0,0,0,600,174.41,0,1,,,,96,0,,5,0,1,12,0,3,1,0,2,5071.11,0,3,0,4,7000,0,0,2,1,464.3346,0,0,8,,1,0,,0,0,0,0,0,1121,30,0
2,,3,,,1015260001,,1015260002,,1,3,,0,0,1,0,1,2,,,,,1,,,3,6,,,10152600,72,,0,0,0,450,0,6604.44,1,,33,,,0,,0,0,3,0,0,1,3,0,1,3477,0,1,0,4,3600,0,0,2,1,94.99476,0,0,42,,1,12,2,0,0,0,0,0,1122,67,0
2,,3,,,1015260002,,1015260001,4,1,3,,0,0,1,0,1,2,,,,,1,,,3,6,,,10152600,75,,0,0,0,340,0,6858.48,1,,10,,,0,,0,0,1,0,0,2,3,0,1,0,0,1,0,4,0,0,0,2,2,94.99476,0,0,43,,1,12,2,0,0,0,0,0,1123,64,0
2,,,,1,1015280001,,1015280003,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,6,40,,10152800,,21,0,0,0,600,1000,0,1,,,,41,12,2,6,0,1,0,0,3,1,0,1,0,13548.57,1,0,4,0,393.13,21647.3,2,2,215.23067,0,0,7,,1,0,1,0,0,0,0,0,1124,30,0
2,,,,,1015280003,,1015280001,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,6,40,,10152800,,21,0,0,0,600,734.85,0,1,,,,86,12,1,9,0,1,0,0,3,1,0,1,0,15211.69,1,0,4,0,433.56,24494.95,2,1,215.23067,0,0,8,,1,0,2,0,0,0,1132.63,0,1125,30,1385.59
2,,,,,1015300001,,1015300002,3,3,,3,0,0,1,0,2,2,,2,2,,2,,11,3,6,8,,10153000,,24,0,0,0,340,295.97,0,1,,,,85,0,2,0,12,3,0,0,2,1,0,1,340,7344,1,0,4,400,174.62,9774.52,2,1,198.7141,0,0,27,,1,0,2,0,0,0,215.09,0,1126,36,255.67
2,,,,,1015300002,,1015300001,3,1,,3,0,0,1,0,1,2,,,1,,,,11,3,6,40,,10153000,,24,0,0,0,600,0,0,1,,,,85,1,2,0,0,1,0,0,,1,0,1,0,0,1,0,4,0,0,0,2,2,198.7141,0,11,6,,1,0,,0,0,0,0,0,1127,30,0
,,,0,,1015300003,,,,,,,,,1,,,,0,,,1015300002,,,,,6,,1015300001,10153000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,1,198.7141,,,,,,,,,,,,,1128,1,
4,,3,,,1015310004,,,3,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10153100,96,,0,0,0,450,0,0,1,,52,,,0,,0,0,3,0,0,1,3,0,2,0,0,3,0,4,0,0,0,2,2,34.54051,0,0,39,,3,12,2,0,0,0,0,0,1129,66,0
2,,3,,,1015320001,,1015320002,3,1,3,,0,0,1,0,1,,,,,,1,,,1,6,,,10153200,51,,0,0,0,340,0,7334.4,1,,,,,0,,,0,1,0,0,3,3,0,1,0,0,1,0,4,0,0,0,2,2,48.51741,0,0,50,,1,12,2,0,0,0,0,0,1130,77,0
2,,3,,,1015320002,,1015320001,3,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10153200,72,,0,0,0,200,0,8359.68,1,,,,,0,,,0,1,0,0,3,3,0,1,0,0,1,0,4,0,0,0,2,1,48.51741,0,0,45,,1,12,2,0,0,0,0,0,1131,84,0
5,,,,,1015330001,,,3,1,,3,0,0,1,0,1,2,,5,2,,1,,21,1,6,6,,10153300,,22,11924.92,0,0,800,601,240,1,,,,84,0,2,0,12,1,0,0,,1,0,2,3338.5,44339.28,3,0,4,4062.46,1303.31,73372.23,2,2,101.55594,0,0,30,,1,0,2,0,0,0,0,0,1132,59,0
4,,,,,1015370003,,,2,1,,3,0,0,1,0,3,1,,5,2,,1,,21,3,6,4,,10153700,,43,0,593.36,0,700,0,4295.64,1,,,8,47,0,2,0,12,2,0,0,2,1,0,2,0,1844.72,3,0,4,0,45.35,2656.3,2,2,74.63925,0,0,30,,1,0,2,0,0,0,141.84,0,1133,67,170.89
5,,3,,,1015380001,,,3,1,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10153800,73,,0,0,0,340,0,6473.16,1,,,,,0,,,0,1,0,0,2,3,0,2,0,0,3,0,4,0,0,0,2,2,83.52198,0,0,35,,3,12,2,0,0,0,0,0,1134,88,0
1,,,,,1015390001,,,1,1,,3,0,0,1,0,1,,,,1,1015390003,2,,21,1,6,40,1015390002,10153900,,,0,0,0,600,126,0,1,,,,,3,2,10,0,1,0,0,3,1,0,2,0,13118.57,3,0,4,0,383.8,21683.59,2,1,194.95284,0,0,0,,1,0,2,0,9,0,0,0,1135,22,0
2,,,,,1015390002,,1015390003,,1,,3,0,0,1,0,1,2,,,1,,2,,11,2,6,40,,10153900,,1,0,0,0,450,0,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,1,0,16315.43,1,0,4,0,468.52,26469.83,2,1,194.95284,0,0,27,,1,0,2,0,0,0,0,0,1136,47,0
2,,,,,1015390003,,1015390002,2,1,,2,0,0,1,0,1,,,,1,,2,,,1,6,60,,10153900,,52,0,0,0,340,0,0,1,,,,47,0,,12,0,1,12,0,3,1,0,1,17206.01,0,1,0,4,22755.32,0,0,2,2,194.95284,0,0,25,,1,0,2,0,0,0,0,0,1137,47,0
2,,,,,1015430001,,1015430002,2,1,,3,0,0,1,429.9,1,,,,1,,2,,21,3,6,45,,10154300,,12,0,0,429.9,600,126,0,1,,,,85,12,1,0,0,1,0,0,3,1,0,1,0,10621.91,1,0,4,0,281.44,15900.71,2,1,107.33803,0,0,7,,1,0,2,0,0,0,439.59,0,1138,35,542.74
2,,,,,1015430002,,1015430001,,,,,0,0,1,0,,,,,1,,,,,,6,,,10154300,,,0,0,0,,435.88,0,,,,,,12,,,0,,0,1971.49,,1,0,1,0,9096.28,1,1971.49,4,0,315.28,14529.29,2,2,107.33803,0,0,,,,0,,0,0,0,215.36,0,1139,34,272.61
,,,0,,1015430003,25,,,,,,,,1,,,,0,,,1015430002,,,,,6,,1015430001,10154300,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,1,107.33803,,,,0,,,,,,,,,1140,10,
,,,0,,1015430004,25,,,,,,,,1,,,,0,,,1015430002,,,,,6,,1015430001,10154300,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,2,107.33803,,,,0,,,,,,,,,1141,8,
,,,0,,1015430005,,,,,,,,,1,,,,0,,,1015430002,,40,,,6,,1015430001,10154300,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,1,107.33803,,,,0,,,,,,,,,1142,4,
2,,,,,1015440002,,1015440003,2,1,,3,0,0,1,0,1,,,,1,,2,,21,3,6,40,,10154400,,83,0,0,0,450,312.73,0,1,,,,10,12,2,0,0,1,0,1461.1,3,1,0,1,0,7312.03,1,1461.1,4,0,259.57,10424.34,2,1,86.76121,0,0,35,,1,0,,0,0,0,56.74,0,1143,59,56.74
2,,,,,1015440003,,1015440002,3,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,6,40,,10154400,,91,0,0,0,450,0,0,1,,,,42,12,2,0,0,1,0,0,3,1,0,1,0,8400,1,0,4,0,144.05,10107.2,2,2,86.76121,0,0,30,,1,0,2,0,0,0,0,0,1144,60,0
1,,,,,1015480001,,,2,3,,3,0,0,1,537.9,1,,,,1,,2,,21,3,6,60,,10154800,,83,0,0,537.9,344,1190.08,0,1,,,,49,12,2,0,0,1,0,0,3,1,0,2,0,24000,3,0,4,0,702.15,39669.42,2,1,342.17525,0,0,12,,1,0,,0,0,0,0,0,1145,33,0
1,,,,,1015520001,,,3,1,,3,0,0,1,0,1,,,,1,,1,,21,3,6,40,,10155200,,23,0,0,0,600,669.45,0,1,,,,2,12,2,4,0,1,0,0,3,1,0,2,0,13935.1,3,0,4,0,393.69,22242.57,2,1,179.44645,0,0,10,,1,0,,0,0,0,0,0,1146,33,0
4,,3,,,1015570001,,,5,1,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10155700,91,,0,418.68,0,450,0,6835.08,1,,,,,0,,,0,3,0,0,1,3,0,2,0,0,3,0,4,0,0,0,2,2,29.47619,0,0,42,,1,12,2,0,0,0,0,0,1147,78,0
5,,3,,,1015590001,,,3,1,3,,0,0,1,0,2,,,,,,1,,,3,6,,,10155900,91,,0,0,0,340,0,5962.56,3,,16,,,0,,0,0,2,0,0,3,3,0,2,0,0,3,0,4,0,0,0,2,2,47.65275,0,0,39,,3,12,2,0,0,0,0,0,1148,70,0
5,,3,,,1015600001,,,3,3,3,,0,0,1,0,1,,,,,,2,,,3,6,,,10156000,23,,0,0,0,700,0,8696.28,1,,85,,,0,,0,0,3,0,0,3,3,0,2,0,1399.87,3,0,4,0,54.16,2175,2,2,44.91185,0,0,40,,1,12,2,0,0,0,0,0,1149,68,0
2,,3,,,1015630001,,1015630002,3,1,3,,0,0,1,0,2,,,,,,1,,,2,6,,,10156300,94,,0,0,0,350,0,6383.04,1,,,,,0,,,0,1,0,0,3,3,0,1,0,0,1,0,4,0,0,0,2,2,33.6239,0,0,42,,1,12,2,0,0,0,0,0,1150,78,0
2,,3,,2,1015630002,,1015630001,,3,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10156300,83,,0,0,0,340,0,7035.24,1,,,,,0,,,0,3,0,0,1,3,0,1,0,0,1,0,4,0,0,0,2,1,33.6239,0,0,44,,3,12,1,0,0,0,0,0,1151,92,0
4,,3,,,1015680001,,,4,1,3,,0,0,1,0,3,,,,,,1,,,2,6,,,10156800,24,,0,418.68,0,700,0,6785.04,1,,85,,,0,,0,0,1,0,0,2,3,0,2,0,0,3,0,4,0,0,0,2,2,94.31762,0,0,45,,1,12,2,0,0,0,0,0,1152,72,0
5,,3,,,1015690001,,,2,1,3,,0,0,1,0,1,,,,,,2,,,3,6,,,10156900,23,,0,0,0,600,0,6248.52,1,,85,,,0,,0,0,1,0,0,3,3,0,2,0,0,3,0,4,0,0,0,2,2,98.23638,0,0,40,,1,12,,0,0,0,0,0,1153,70,0
2,,3,,,1015700002,,1015700003,4,1,3,,0,0,1,0,2,,,,,,1,,,2,6,,,10157000,75,,0,0,0,450,0,2875.35,1,,14,,,8,,0,0,2,0,0,2,4,0,1,0,0,1,0,4,0,0,0,2,2,80.03589,0,0,28,,1,3,2,1,0,0,0,0,1154,64,0
2,,,,,1015700003,,1015700002,,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,6,40,,10157000,,81,0,0,0,450,0,0,1,,,,31,12,2,0,0,2,0,0,3,1,0,1,0,9000,1,0,4,0,189.11,11864.78,2,1,80.03589,0,0,32,,1,0,2,0,0,0,292.31,0,1155,59,355.47
1,,,,,1015720001,,,2,1,,2,0,0,1,0,1,2,,,1,,2,,,1,6,40,,10157200,,71,0,0,0,340,186.74,0,1,,,,43,0,,0,0,1,12,0,3,1,0,2,18000,0,3,0,4,19956.76,0,0,2,1,238.4618,0,0,20,,1,0,2,0,0,0,25.27,0,1156,50,31.99
5,,3,,,1015740001,,,3,3,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10157400,52,,0,0,0,450,0,6486.12,1,,,,,0,,,0,1,0,0,2,3,0,2,0,0,3,0,4,0,0,0,2,2,85.51279,0,0,39,,1,12,2,0,0,0,0,0,1157,80,0
2,,3,,,1015750001,,1015750002,4,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10157500,73,,0,0,0,450,0,5044.2,1,,14,,,0,,0,0,1,0,0,2,3,0,1,0,0,1,0,4,0,0,0,2,2,50.81699,0,0,24,,1,12,2,0,0,0,0,0,1158,71,0
2,,3,,,1015750002,,1015750001,3,1,3,,0,0,1,0,1,2,,,,,1,,,3,6,,,10157500,31,,0,0,0,340,0,7997.16,1,,,,,0,,,0,1,0,0,3,3,0,1,0,0,1,0,4,0,0,0,2,1,50.81699,0,0,41,,1,12,2,0,0,0,0,0,1159,75,0
3,,,,2,1015770001,,,3,3,,3,0,0,1,0,1,,,,1,,,,21,3,6,40,,10157700,,25,0,0,0,700,451,0,1,,,,90,12,2,0,0,1,0,0,3,1,0,2,0,23513.46,3,0,4,0,687.91,38865.23,2,1,296.58519,0,0,20,,1,0,1,0,0,0,0,0,1160,41,0
,,,0,,1015770002,40,,,,,,,,1,,,,0,,,,,,,,6,,1015770001,10157700,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,2,296.58519,,,,20,,,,,,,,,1161,8,
,,,0,,1015770003,40,,,,,,,,1,,,,0,,,,,,,,6,,1015770001,10157700,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,2,296.58519,,,,20,,,,,,,,,1162,7,
1,,,,,1015780001,,,2,1,,3,0,0,1,0,1,,,,1,1015780003,2,,21,1,6,40,1015780002,10157800,,25,0,0,0,344,898.75,0,1,,,,20,12,2,0,0,1,0,0,3,1,0,2,0,18124.71,3,0,4,0,530.26,29958.2,2,1,172.05561,0,0,10,,1,0,,0,0,0,0,0,1163,29,0
2,,,,,1015780002,,1015780003,,1,,2,0,0,1,0,1,,,,1,,2,,,3,6,40,,10157800,,74,0,0,0,600,0,0,1,,,,45,0,,0,0,1,12,0,3,1,0,1,3523.98,13793.45,1,0,4,4550,388.88,21970.7,2,1,172.05561,0,0,,,1,0,,0,0,0,0,0,1164,64,0
2,,,,,1015780003,,1015780002,,1,,3,0,0,1,0,1,1,,,2,,,,21,3,6,30,,10157800,,23,0,0,0,600,0,5440.61,1,,,2,46,0,2,0,12,1,0,0,,1,0,1,0,11265.82,1,0,4,0,248.22,17119.14,2,2,172.05561,0,0,,,1,0,2,0,0,0,0,0,1165,64,0
2,,3,,,1015800001,,1015800002,3,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10158000,24,,2637,0,0,340,0,0,1,,69,,,0,,24,0,1,0,0,2,4,0,1,0,0,1,0,4,0,0,0,2,2,97.20766,0,0,25,,1,0,2,12,0,0,0,0,1166,63,0
2,,,,,1015800002,,1015800001,,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,6,40,,10158000,,72,0,0,0,350,0,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,1,0,14265.79,1,0,4,0,408.31,22868.26,2,1,97.20766,0,0,40,,1,0,,0,0,0,0,0,1167,60,0
5,,,,,1015830001,,,2,1,,1,0,0,1,0,1,,,5,1,,2,,,3,6,40,,10158300,,11,0,0,0,344,183.84,0,1,,,,73,0,,2,0,1,12,0,3,1,0,2,0,3707.37,3,0,4,0,108.47,6127.92,2,1,113.3882,0,0,15,,1,0,,0,0,0,80.26,0,1168,33,99.25
4,,3,,,1015840002,,,3,1,3,,0,0,1,0,3,,,,,,,,,3,6,,,10158400,91,,0,418.68,0,600,0,7527.12,1,,94,,,0,,0,0,3,0,0,3,3,0,2,0,1920,3,0,4,0,42.21,2385.03,2,2,54.31035,0,0,4,,1,12,2,0,0,0,0,0,1169,70,0
2,,3,,,1015850001,,1015850002,3,1,3,,0,0,1,0,1,2,,,,,1,,,3,6,,,10158500,81,,0,0,0,340,0,6326.16,1,,46,,,0,,0,0,1,0,0,3,3,0,1,0,0,1,0,4,0,0,0,2,2,29.91629,0,0,39,,1,12,2,0,0,0,0,0,1170,67,0
2,,3,,,1015850002,,1015850001,,1,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10158500,75,,0,0,0,350,0,8599.8,1,,16,,,0,,0,0,1,0,0,3,3,0,1,0,0,1,0,4,0,0,0,2,1,29.91629,0,0,45,,1,12,2,0,0,0,0,0,1171,72,0
5,,,,,1015870001,,,3,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,6,40,,10158700,,54,0,0,0,340,0,0,1,,,,10,12,2,0,0,1,0,0,3,1,0,2,0,8650.81,3,0,4,0,175.45,12100,2,2,62.30819,0,0,27,,1,0,2,0,0,0,0,0,1172,60,0
1,,,,,1015890001,,,3,3,,3,0,0,1,0,1,,,,2,,1,,21,3,6,20,,10158900,,91,0,0,0,340,0,7401.36,1,,,,87,0,2,,12,3,0,0,3,1,0,2,0,2907.44,3,0,4,0,63.92,3611.68,2,2,84.5038,0,0,45,,1,0,2,0,0,0,0,0,1173,77,0
2,,,,,1015900001,,1015900002,3,1,,3,0,0,1,0,1,2,,,1,,2,,21,2,6,40,,10159000,,23,0,0,0,700,0,1256.01,1,,,,41,12,2,0,0,1,0,0,3,1,0,1,0,14730.39,1,0,4,0,343.74,23706.31,2,2,62.15974,0,0,42,,1,0,2,0,0,0,0,0,1174,64,0
2,,,,,1015900002,,1015900001,3,1,,2,0,0,1,0,1,,,,1,,1,,,2,6,40,,10159000,,71,0,0,0,350,0,0,1,,,,41,0,,0,0,1,12,0,3,1,0,1,6109.18,0,1,0,4,7000,0,0,2,1,62.15974,0,0,35,,1,0,2,0,0,0,110.18,0,1175,63,139.47
4,,3,,,1015920002,,,3,3,3,,0,0,1,0,1,,,,,,1,,,3,6,,,10159200,93,,0,418.68,0,700,0,6689.88,1,,,,,0,,,0,1,0,0,3,3,0,2,0,0,3,0,4,0,0,0,2,1,88.91161,0,0,40,,3,12,2,0,0,0,0,0,1176,80,0
1,,1,,,1015930001,,,,3,,,0,0,1,0,1,,,,,1015930002,1,,,3,6,,,10159300,,,9200.18,0,0,600,0,0,1,,,,,0,,0,0,3,0,0,1,4,0,2,0,0,3,0,4,0,0,0,2,1,166.90401,0,0,,,1,0,2,12,0,0,0,0,1177,39,0
5,,3,,,1015930002,,,3,3,2,,0,0,1,0,1,2,,,,,1,,,3,6,,,10159300,24,,0,0,0,700,0,4645.72,1,,87,,,0,,0,0,3,0,0,1,3,0,2,0,0,3,0,4,0,0,0,2,2,166.90401,0,0,31,,1,12,2,0,0,0,0,0,1178,65,0
4,,3,,,1015960001,,,5,3,3,,0,0,1,0,3,,,,,,1,,,3,6,,,10159600,21,,0,418.68,0,700,0,4963.2,3,,22,,,0,,0,0,3,0,0,1,3,0,2,0,0,3,0,4,0,0,0,2,2,93.66076,0,0,23,,3,12,2,0,0,0,0,0,1179,70,0
1,,,,,1015970001,,,2,1,,3,0,0,1,0,1,2,,,2,,2,,21,1,6,20,,10159700,,91,0,0,0,450,0,7019.04,1,,,,85,0,2,0,12,1,0,0,3,1,0,2,0,4047.43,3,0,4,0,90.15,5040.66,2,2,23.49206,0,0,48,,1,0,2,0,0,0,0,0,1180,69,0
1,,3,,,1015970002,,,,1,3,,0,0,1,0,1,,,,,,2,,,1,6,,,10159700,91,,0,0,0,450,0,7071.96,1,,47,,,0,,0,0,1,0,0,3,3,0,2,0,0,3,0,4,0,0,0,2,2,23.49206,0,0,47,,1,12,,0,0,0,0,0,1181,69,0
2,,1,,,1016020001,,1016020002,3,1,,,0,0,1,0,2,2,,,,,1,,,1,6,,,10160200,,,0,0,0,600,0,7428.96,1,,,,,0,,0,0,2,0,0,2,3,0,1,0,0,1,0,4,0,0,0,2,2,57.97116,0,0,,,1,12,2,0,0,0,0,0,1182,65,0
2,,1,,,1016020002,,1016020001,3,1,,,0,0,1,0,2,2,,,,,1,,,1,6,,,10160200,,,0,0,0,700,0,8526.12,1,,,,,0,,0,0,2,0,0,2,3,0,1,0,0,1,0,4,0,0,0,2,1,57.97116,0,0,,,1,12,2,0,0,0,0,0,1183,68,0
5,,3,,,1016030001,,,4,1,3,,0,0,1,0,1,,,,,,1,,,2,6,,,10160300,24,,0,0,0,340,0,8265.36,1,,84,,,0,,0,0,2,0,0,1,3,0,2,0,0,3,0,4,0,0,0,2,2,94.71673,0,0,49,,1,12,2,0,0,0,0,0,1184,71,0
3,,,,,1016050001,,,2,1,,3,0,0,1,0,1,2,,20,1,,2,,21,1,6,40,,10160500,,23,0,0,0,700,81,0,1,,,,58,12,2,0,0,1,0,0,3,1,0,2,1595.61,22758.63,3,0,4,2134.59,542.86,37438.83,2,2,139.61502,0,0,22,,1,0,2,0,0,0,225.07,0,1185,44,277.74
1,20,1,,,1016050002,,,2,1,,,0,0,1,0,1,2,,,,1016050001,2,,,1,6,,,10160500,,,0,0,0,100,0,0,1,,,,,0,,0,0,1,0,0,3,5,0,2,0,0,3,0,4,0,0,0,1,2,139.61502,0,0,,,1,0,2,0,12,0,0,0,1186,16,0
5,,,,,1016060001,,,3,1,,3,0,0,1,0,1,,,,1,,2,,21,1,6,40,,10160600,,73,0,0,0,450,0,0,1,,,,56,12,2,6,0,1,0,0,3,1,0,2,0,11036.37,3,0,4,0,295.57,16698.66,2,2,109.30055,0,0,34,,1,0,2,0,0,0,310.97,0,1187,54,386.95
4,,3,,,1016070001,,,3,1,3,,0,0,1,0,1,,,,,,2,,,3,6,,,10160700,31,,0,418.68,0,450,0,7773.48,1,,,,,0,,,0,1,0,0,3,3,0,2,0,0,3,0,4,0,0,0,2,2,84.31732,0,0,45,,1,12,2,0,0,0,0,0,1188,76,0
